,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00
"Apr 6, 16",205.6,345.6,355.6,412.4,415.8,354.8,252.9,161.0,100.0,122.8,120.7,77.6,81.4,68.4,61.5,59.9,53.9,45.0,50.0,62.8,82.0,68.8,49.3,47.3,40.6,103.9,129.5,131.7,143.3,222.2,281.6,295.2,213.9,260.3,341.0,320.4,277.8,210.1,261.4,241.4,277.5,408.0,186.3,175.2,250.1,266.7,201.3,185.8,142.1,135.7,147.8,161.6,127.7,189.1,216.0,158.8,135.2,191.8,182.1,193.4,184.5,159.1,158.8,134.1,114.9,174.0,127.3,85.3,79.8,124.5,184.9,246.0
"Apr 7, 16",40.6,103.9,129.5,131.7,143.3,222.2,281.6,295.2,213.9,260.3,341.0,320.4,277.8,210.1,261.4,241.4,277.5,408.0,186.3,175.2,250.1,266.7,201.3,185.8,142.1,135.7,147.8,161.6,127.7,189.1,216.0,158.8,135.2,191.8,182.1,193.4,184.5,159.1,158.8,134.1,114.9,174.0,127.3,85.3,79.8,124.5,184.9,246.0,351.4,408.0,407.7,476.4,487.8,607.8,570.3,559.0,548.7,534.8,445.1,460.5,485.5,538.6,469.2,479.7,523.3,525.0,488.6,476.2,507.8,470.6,432.8,403.7
"Apr 8, 16",142.1,135.7,147.8,161.6,127.7,189.1,216.0,158.8,135.2,191.8,182.1,193.4,184.5,159.1,158.8,134.1,114.9,174.0,127.3,85.3,79.8,124.5,184.9,246.0,351.4,408.0,407.7,476.4,487.8,607.8,570.3,559.0,548.7,534.8,445.1,460.5,485.5,538.6,469.2,479.7,523.3,525.0,488.6,476.2,507.8,470.6,432.8,403.7,373.8,406.9,464.8,517.7,605.1,591.8,576.9,562.3,561.6,473.6,460.2,491.1,487.0,414.2,397.4,370.3,402.4,419.2,392.7,387.6,370.8,369.8,355.7,343.0
"Apr 9, 16",351.4,408.0,407.7,476.4,487.8,607.8,570.3,559.0,548.7,534.8,445.1,460.5,485.5,538.6,469.2,479.7,523.3,525.0,488.6,476.2,507.8,470.6,432.8,403.7,373.8,406.9,464.8,517.7,605.1,591.8,576.9,562.3,561.6,473.6,460.2,491.1,487.0,414.2,397.4,370.3,402.4,419.2,392.7,387.6,370.8,369.8,355.7,343.0,361.0,364.8,412.4,430.0,454.7,464.6,462.2,429.1,423.4,447.3,394.3,364.4,393.7,451.6,452.1,455.3,497.5,495.4,482.8,561.5,613.6,624.2,608.1,591.3
"Apr 10, 16",373.8,406.9,464.8,517.7,605.1,591.8,576.9,562.3,561.6,473.6,460.2,491.1,487.0,414.2,397.4,370.3,402.4,419.2,392.7,387.6,370.8,369.8,355.7,343.0,361.0,364.8,412.4,430.0,454.7,464.6,462.2,429.1,423.4,447.3,394.3,364.4,393.7,451.6,452.1,455.3,497.5,495.4,482.8,561.5,613.6,624.2,608.1,591.3,594.4,617.3,581.5,593.1,577.6,601.7,597.1,600.8,552.2,467.3,381.1,347.4,313.0,294.5,361.2,434.7,467.2,312.9,254.9,230.4,214.6,145.3,104.5,117.2
"Apr 11, 16",361.0,364.8,412.4,430.0,454.7,464.6,462.2,429.1,423.4,447.3,394.3,364.4,393.7,451.6,452.1,455.3,497.5,495.4,482.8,561.5,613.6,624.2,608.1,591.3,594.4,617.3,581.5,593.1,577.6,601.7,597.1,600.8,552.2,467.3,381.1,347.4,313.0,294.5,361.2,434.7,467.2,312.9,254.9,230.4,214.6,145.3,104.5,117.2,100.1,133.0,167.7,178.9,205.9,174.5,144.1,176.3,190.0,221.0,192.5,180.4,174.4,207.8,242.5,232.4,201.0,170.1,127.5,93.0,72.7,51.7,53.4,57.2
"Apr 12, 16",594.4,617.3,581.5,593.1,577.6,601.7,597.1,600.8,552.2,467.3,381.1,347.4,313.0,294.5,361.2,434.7,467.2,312.9,254.9,230.4,214.6,145.3,104.5,117.2,100.1,133.0,167.7,178.9,205.9,174.5,144.1,176.3,190.0,221.0,192.5,180.4,174.4,207.8,242.5,232.4,201.0,170.1,127.5,93.0,72.7,51.7,53.4,57.2,34.9,43.8,52.4,73.1,103.9,171.6,262.6,331.2,398.0,456.7,516.5,492.9,458.1,470.2,463.3,469.2,465.3,506.4,534.6,481.4,526.2,621.9,602.1,533.6
"Apr 13, 16",100.1,133.0,167.7,178.9,205.9,174.5,144.1,176.3,190.0,221.0,192.5,180.4,174.4,207.8,242.5,232.4,201.0,170.1,127.5,93.0,72.7,51.7,53.4,57.2,34.9,43.8,52.4,73.1,103.9,171.6,262.6,331.2,398.0,456.7,516.5,492.9,458.1,470.2,463.3,469.2,465.3,506.4,534.6,481.4,526.2,621.9,602.1,533.6,407.7,438.1,462.9,497.7,441.1,397.3,415.7,493.7,491.0,396.1,433.8,425.9,349.2,366.5,391.3,422.3,441.8,418.2,394.1,370.9,360.9,385.3,312.8,269.5
"Apr 14, 16",34.9,43.8,52.4,73.1,103.9,171.6,262.6,331.2,398.0,456.7,516.5,492.9,458.1,470.2,463.3,469.2,465.3,506.4,534.6,481.4,526.2,621.9,602.1,533.6,407.7,438.1,462.9,497.7,441.1,397.3,415.7,493.7,491.0,396.1,433.8,425.9,349.2,366.5,391.3,422.3,441.8,418.2,394.1,370.9,360.9,385.3,312.8,269.5,315.1,341.1,430.4,529.3,562.9,572.2,532.9,435.8,390.6,378.4,356.8,414.9,478.2,410.3,404.1,392.6,311.3,308.0,246.2,155.0,156.1,269.5,234.0,226.0
"Apr 15, 16",407.7,438.1,462.9,497.7,441.1,397.3,415.7,493.7,491.0,396.1,433.8,425.9,349.2,366.5,391.3,422.3,441.8,418.2,394.1,370.9,360.9,385.3,312.8,269.5,315.1,341.1,430.4,529.3,562.9,572.2,532.9,435.8,390.6,378.4,356.8,414.9,478.2,410.3,404.1,392.6,311.3,308.0,246.2,155.0,156.1,269.5,234.0,226.0,215.6,242.4,457.1,537.8,646.7,625.9,599.7,589.2,588.3,589.9,591.5,534.2,498.8,445.4,435.5,463.7,522.9,548.1,547.8,545.6,550.6,552.4,577.4,597.2
"Apr 16, 16",315.1,341.1,430.4,529.3,562.9,572.2,532.9,435.8,390.6,378.4,356.8,414.9,478.2,410.3,404.1,392.6,311.3,308.0,246.2,155.0,156.1,269.5,234.0,226.0,215.6,242.4,457.1,537.8,646.7,625.9,599.7,589.2,588.3,589.9,591.5,534.2,498.8,445.4,435.5,463.7,522.9,548.1,547.8,545.6,550.6,552.4,577.4,597.2,590.8,557.8,544.0,486.9,413.0,405.1,378.1,313.8,223.4,288.0,392.5,334.2,322.6,262.6,278.1,285.7,320.7,317.4,273.7,255.8,240.0,268.5,281.5,242.9
"Apr 17, 16",215.6,242.4,457.1,537.8,646.7,625.9,599.7,589.2,588.3,589.9,591.5,534.2,498.8,445.4,435.5,463.7,522.9,548.1,547.8,545.6,550.6,552.4,577.4,597.2,590.8,557.8,544.0,486.9,413.0,405.1,378.1,313.8,223.4,288.0,392.5,334.2,322.6,262.6,278.1,285.7,320.7,317.4,273.7,255.8,240.0,268.5,281.5,242.9,246.6,242.7,262.6,435.4,559.8,641.4,571.0,422.5,330.2,310.4,288.4,238.4,208.1,218.2,134.1,76.5,76.8,61.0,43.6,34.8,23.3,39.4,32.1,33.3
"Apr 18, 16",590.8,557.8,544.0,486.9,413.0,405.1,378.1,313.8,223.4,288.0,392.5,334.2,322.6,262.6,278.1,285.7,320.7,317.4,273.7,255.8,240.0,268.5,281.5,242.9,246.6,242.7,262.6,435.4,559.8,641.4,571.0,422.5,330.2,310.4,288.4,238.4,208.1,218.2,134.1,76.5,76.8,61.0,43.6,34.8,23.3,39.4,32.1,33.3,61.7,63.0,72.3,75.0,127.0,132.2,211.9,348.7,383.6,312.7,204.1,202.4,241.4,180.5,176.3,149.1,94.0,70.5,96.2,95.0,141.2,166.6,252.8,193.7
"Apr 19, 16",246.6,242.7,262.6,435.4,559.8,641.4,571.0,422.5,330.2,310.4,288.4,238.4,208.1,218.2,134.1,76.5,76.8,61.0,43.6,34.8,23.3,39.4,32.1,33.3,61.7,63.0,72.3,75.0,127.0,132.2,211.9,348.7,383.6,312.7,204.1,202.4,241.4,180.5,176.3,149.1,94.0,70.5,96.2,95.0,141.2,166.6,252.8,193.7,192.6,191.4,250.3,238.5,178.1,220.7,266.6,268.1,258.9,211.3,162.1,134.6,104.8,136.0,178.6,249.0,361.6,404.2,413.6,340.2,374.2,327.6,280.5,301.6
"Apr 20, 16",61.7,63.0,72.3,75.0,127.0,132.2,211.9,348.7,383.6,312.7,204.1,202.4,241.4,180.5,176.3,149.1,94.0,70.5,96.2,95.0,141.2,166.6,252.8,193.7,192.6,191.4,250.3,238.5,178.1,220.7,266.6,268.1,258.9,211.3,162.1,134.6,104.8,136.0,178.6,249.0,361.6,404.2,413.6,340.2,374.2,327.6,280.5,301.6,334.4,370.4,461.2,483.6,539.2,599.6,631.7,646.7,619.3,620.6,597.2,559.6,529.7,431.9,373.4,326.8,308.1,288.8,265.9,228.4,200.5,151.9,145.8,144.4
"Apr 21, 16",192.6,191.4,250.3,238.5,178.1,220.7,266.6,268.1,258.9,211.3,162.1,134.6,104.8,136.0,178.6,249.0,361.6,404.2,413.6,340.2,374.2,327.6,280.5,301.6,334.4,370.4,461.2,483.6,539.2,599.6,631.7,646.7,619.3,620.6,597.2,559.6,529.7,431.9,373.4,326.8,308.1,288.8,265.9,228.4,200.5,151.9,145.8,144.4,174.3,136.9,106.8,81.0,66.1,66.8,63.2,52.4,42.5,46.1,60.4,93.9,92.2,96.1,88.2,136.3,289.2,267.9,165.7,154.4,264.3,294.6,327.2,342.2
"Apr 22, 16",334.4,370.4,461.2,483.6,539.2,599.6,631.7,646.7,619.3,620.6,597.2,559.6,529.7,431.9,373.4,326.8,308.1,288.8,265.9,228.4,200.5,151.9,145.8,144.4,174.3,136.9,106.8,81.0,66.1,66.8,63.2,52.4,42.5,46.1,60.4,93.9,92.2,96.1,88.2,136.3,289.2,267.9,165.7,154.4,264.3,294.6,327.2,342.2,366.8,311.6,299.6,258.8,322.2,471.3,466.3,462.0,560.1,553.8,600.8,693.0,713.9,695.3,694.1,698.7,708.9,690.3,679.3,699.3,688.2,650.2,637.0,624.6
"Apr 23, 16",174.3,136.9,106.8,81.0,66.1,66.8,63.2,52.4,42.5,46.1,60.4,93.9,92.2,96.1,88.2,136.3,289.2,267.9,165.7,154.4,264.3,294.6,327.2,342.2,366.8,311.6,299.6,258.8,322.2,471.3,466.3,462.0,560.1,553.8,600.8,693.0,713.9,695.3,694.1,698.7,708.9,690.3,679.3,699.3,688.2,650.2,637.0,624.6,639.5,705.2,662.5,672.8,699.8,639.6,648.2,620.5,574.3,551.6,571.4,584.9,639.5,661.6,639.6,672.9,669.3,609.0,522.0,519.6,633.0,671.3,701.0,721.2
"Apr 24, 16",366.8,311.6,299.6,258.8,322.2,471.3,466.3,462.0,560.1,553.8,600.8,693.0,713.9,695.3,694.1,698.7,708.9,690.3,679.3,699.3,688.2,650.2,637.0,624.6,639.5,705.2,662.5,672.8,699.8,639.6,648.2,620.5,574.3,551.6,571.4,584.9,639.5,661.6,639.6,672.9,669.3,609.0,522.0,519.6,633.0,671.3,701.0,721.2,700.8,693.0,699.2,603.1,577.5,547.3,556.8,570.0,560.6,548.5,533.1,560.2,530.7,534.4,491.9,462.7,473.1,474.2,473.2,424.8,501.5,513.9,556.4,597.7
"Apr 25, 16",639.5,705.2,662.5,672.8,699.8,639.6,648.2,620.5,574.3,551.6,571.4,584.9,639.5,661.6,639.6,672.9,669.3,609.0,522.0,519.6,633.0,671.3,701.0,721.2,700.8,693.0,699.2,603.1,577.5,547.3,556.8,570.0,560.6,548.5,533.1,560.2,530.7,534.4,491.9,462.7,473.1,474.2,473.2,424.8,501.5,513.9,556.4,597.7,601.2,614.3,603.6,510.4,450.1,431.1,482.2,507.4,467.0,485.4,444.7,419.1,412.3,406.2,349.5,328.1,318.3,245.9,228.1,208.0,293.0,342.5,305.3,247.7
"Apr 26, 16",700.8,693.0,699.2,603.1,577.5,547.3,556.8,570.0,560.6,548.5,533.1,560.2,530.7,534.4,491.9,462.7,473.1,474.2,473.2,424.8,501.5,513.9,556.4,597.7,601.2,614.3,603.6,510.4,450.1,431.1,482.2,507.4,467.0,485.4,444.7,419.1,412.3,406.2,349.5,328.1,318.3,245.9,228.1,208.0,293.0,342.5,305.3,247.7,230.2,217.4,187.4,126.5,82.9,89.4,119.4,110.8,108.9,116.8,127.8,162.4,195.4,251.8,279.0,251.1,237.2,243.0,226.5,130.9,115.3,161.3,207.2,288.8
"Apr 27, 16",601.2,614.3,603.6,510.4,450.1,431.1,482.2,507.4,467.0,485.4,444.7,419.1,412.3,406.2,349.5,328.1,318.3,245.9,228.1,208.0,293.0,342.5,305.3,247.7,230.2,217.4,187.4,126.5,82.9,89.4,119.4,110.8,108.9,116.8,127.8,162.4,195.4,251.8,279.0,251.1,237.2,243.0,226.5,130.9,115.3,161.3,207.2,288.8,367.5,435.1,392.1,391.1,349.1,391.6,353.8,367.4,374.6,406.3,377.3,365.4,344.1,354.3,340.5,354.3,327.6,323.6,305.0,191.3,228.2,177.9,127.0,90.7
"Apr 28, 16",230.2,217.4,187.4,126.5,82.9,89.4,119.4,110.8,108.9,116.8,127.8,162.4,195.4,251.8,279.0,251.1,237.2,243.0,226.5,130.9,115.3,161.3,207.2,288.8,367.5,435.1,392.1,391.1,349.1,391.6,353.8,367.4,374.6,406.3,377.3,365.4,344.1,354.3,340.5,354.3,327.6,323.6,305.0,191.3,228.2,177.9,127.0,90.7,71.9,42.6,29.7,22.8,21.4,20.5,10.8,9.4,5.8,4.3,1.9,5.3,30.1,44.1,76.1,78.6,86.0,98.7,95.3,60.0,64.9,106.7,133.0,123.9
"Apr 29, 16",367.5,435.1,392.1,391.1,349.1,391.6,353.8,367.4,374.6,406.3,377.3,365.4,344.1,354.3,340.5,354.3,327.6,323.6,305.0,191.3,228.2,177.9,127.0,90.7,71.9,42.6,29.7,22.8,21.4,20.5,10.8,9.4,5.8,4.3,1.9,5.3,30.1,44.1,76.1,78.6,86.0,98.7,95.3,60.0,64.9,106.7,133.0,123.9,108.8,78.8,56.7,34.5,32.4,33.6,20.5,49.2,151.4,210.0,217.8,217.2,188.8,188.7,172.4,132.3,96.1,78.0,45.6,38.8,21.9,20.8,19.9,17.7
"Apr 30, 16",71.9,42.6,29.7,22.8,21.4,20.5,10.8,9.4,5.8,4.3,1.9,5.3,30.1,44.1,76.1,78.6,86.0,98.7,95.3,60.0,64.9,106.7,133.0,123.9,108.8,78.8,56.7,34.5,32.4,33.6,20.5,49.2,151.4,210.0,217.8,217.2,188.8,188.7,172.4,132.3,96.1,78.0,45.6,38.8,21.9,20.8,19.9,17.7,18.6,18.3,27.5,36.2,54.8,92.1,153.1,182.6,204.0,235.5,250.9,243.9,218.0,224.4,219.2,235.3,218.2,159.9,111.9,99.0,69.7,48.9,24.2,17.0
"May 1, 16",108.8,78.8,56.7,34.5,32.4,33.6,20.5,49.2,151.4,210.0,217.8,217.2,188.8,188.7,172.4,132.3,96.1,78.0,45.6,38.8,21.9,20.8,19.9,17.7,18.6,18.3,27.5,36.2,54.8,92.1,153.1,182.6,204.0,235.5,250.9,243.9,218.0,224.4,219.2,235.3,218.2,159.9,111.9,99.0,69.7,48.9,24.2,17.0,11.3,7.3,8.6,14.5,57.4,86.1,124.8,149.7,129.8,99.0,78.1,76.2,81.2,82.6,71.1,95.2,95.9,109.9,111.1,65.8,42.7,37.6,15.1,20.6
"May 2, 16",18.6,18.3,27.5,36.2,54.8,92.1,153.1,182.6,204.0,235.5,250.9,243.9,218.0,224.4,219.2,235.3,218.2,159.9,111.9,99.0,69.7,48.9,24.2,17.0,11.3,7.3,8.6,14.5,57.4,86.1,124.8,149.7,129.8,99.0,78.1,76.2,81.2,82.6,71.1,95.2,95.9,109.9,111.1,65.8,42.7,37.6,15.1,20.6,18.3,18.5,6.9,5.3,20.1,38.1,51.5,63.6,60.8,65.2,66.7,82.9,111.3,123.1,104.7,106.1,115.3,121.7,116.8,96.8,73.4,88.9,59.6,47.9
"May 3, 16",11.3,7.3,8.6,14.5,57.4,86.1,124.8,149.7,129.8,99.0,78.1,76.2,81.2,82.6,71.1,95.2,95.9,109.9,111.1,65.8,42.7,37.6,15.1,20.6,18.3,18.5,6.9,5.3,20.1,38.1,51.5,63.6,60.8,65.2,66.7,82.9,111.3,123.1,104.7,106.1,115.3,121.7,116.8,96.8,73.4,88.9,59.6,47.9,44.8,51.4,70.6,151.4,204.9,228.9,155.1,166.1,240.1,214.0,160.1,150.1,154.0,189.4,200.9,243.3,270.2,274.3,217.1,184.2,166.9,185.3,199.2,195.6
"May 4, 16",18.3,18.5,6.9,5.3,20.1,38.1,51.5,63.6,60.8,65.2,66.7,82.9,111.3,123.1,104.7,106.1,115.3,121.7,116.8,96.8,73.4,88.9,59.6,47.9,44.8,51.4,70.6,151.4,204.9,228.9,155.1,166.1,240.1,214.0,160.1,150.1,154.0,189.4,200.9,243.3,270.2,274.3,217.1,184.2,166.9,185.3,199.2,195.6,175.6,173.3,195.6,236.3,331.2,383.4,376.7,376.4,346.3,285.5,271.2,243.8,247.5,256.9,253.6,261.4,251.3,234.4,212.2,152.9,110.8,98.0,87.1,93.1
"May 5, 16",44.8,51.4,70.6,151.4,204.9,228.9,155.1,166.1,240.1,214.0,160.1,150.1,154.0,189.4,200.9,243.3,270.2,274.3,217.1,184.2,166.9,185.3,199.2,195.6,175.6,173.3,195.6,236.3,331.2,383.4,376.7,376.4,346.3,285.5,271.2,243.8,247.5,256.9,253.6,261.4,251.3,234.4,212.2,152.9,110.8,98.0,87.1,93.1,95.3,113.0,127.9,132.0,187.6,243.3,292.6,326.0,338.9,336.5,332.7,329.2,337.3,318.6,282.1,275.7,255.9,287.7,350.6,327.8,203.0,206.3,194.8,238.2
"May 6, 16",175.6,173.3,195.6,236.3,331.2,383.4,376.7,376.4,346.3,285.5,271.2,243.8,247.5,256.9,253.6,261.4,251.3,234.4,212.2,152.9,110.8,98.0,87.1,93.1,95.3,113.0,127.9,132.0,187.6,243.3,292.6,326.0,338.9,336.5,332.7,329.2,337.3,318.6,282.1,275.7,255.9,287.7,350.6,327.8,203.0,206.3,194.8,238.2,201.1,184.7,174.3,176.1,205.2,237.4,311.5,356.7,331.8,356.6,358.8,325.0,284.0,231.9,213.8,213.2,176.2,135.3,128.0,83.5,51.2,50.8,55.9,70.9
"May 7, 16",95.3,113.0,127.9,132.0,187.6,243.3,292.6,326.0,338.9,336.5,332.7,329.2,337.3,318.6,282.1,275.7,255.9,287.7,350.6,327.8,203.0,206.3,194.8,238.2,201.1,184.7,174.3,176.1,205.2,237.4,311.5,356.7,331.8,356.6,358.8,325.0,284.0,231.9,213.8,213.2,176.2,135.3,128.0,83.5,51.2,50.8,55.9,70.9,86.6,95.5,93.5,88.3,98.0,110.3,145.7,139.2,113.4,107.0,80.9,69.8,78.5,62.8,65.4,62.1,54.4,73.6,101.6,127.4,133.9,165.5,229.6,244.3
"May 8, 16",201.1,184.7,174.3,176.1,205.2,237.4,311.5,356.7,331.8,356.6,358.8,325.0,284.0,231.9,213.8,213.2,176.2,135.3,128.0,83.5,51.2,50.8,55.9,70.9,86.6,95.5,93.5,88.3,98.0,110.3,145.7,139.2,113.4,107.0,80.9,69.8,78.5,62.8,65.4,62.1,54.4,73.6,101.6,127.4,133.9,165.5,229.6,244.3,262.6,268.2,378.1,344.1,386.5,395.3,411.2,410.0,355.8,342.2,341.0,315.0,328.6,357.8,347.4,309.8,265.0,195.5,175.8,171.7,110.7,127.5,119.3,144.0
"May 9, 16",86.6,95.5,93.5,88.3,98.0,110.3,145.7,139.2,113.4,107.0,80.9,69.8,78.5,62.8,65.4,62.1,54.4,73.6,101.6,127.4,133.9,165.5,229.6,244.3,262.6,268.2,378.1,344.1,386.5,395.3,411.2,410.0,355.8,342.2,341.0,315.0,328.6,357.8,347.4,309.8,265.0,195.5,175.8,171.7,110.7,127.5,119.3,144.0,147.7,161.4,166.4,172.1,204.2,228.9,252.1,248.6,208.2,219.5,198.4,177.2,145.5,144.2,159.7,147.4,148.8,165.4,163.8,145.6,97.2,86.6,71.3,81.6
"May 10, 16",262.6,268.2,378.1,344.1,386.5,395.3,411.2,410.0,355.8,342.2,341.0,315.0,328.6,357.8,347.4,309.8,265.0,195.5,175.8,171.7,110.7,127.5,119.3,144.0,147.7,161.4,166.4,172.1,204.2,228.9,252.1,248.6,208.2,219.5,198.4,177.2,145.5,144.2,159.7,147.4,148.8,165.4,163.8,145.6,97.2,86.6,71.3,81.6,94.4,108.1,103.1,116.5,160.3,198.0,216.1,237.9,238.3,224.3,198.7,203.6,166.1,177.2,183.5,150.9,124.2,114.6,112.1,54.1,41.5,39.7,34.0,33.0
"May 11, 16",147.7,161.4,166.4,172.1,204.2,228.9,252.1,248.6,208.2,219.5,198.4,177.2,145.5,144.2,159.7,147.4,148.8,165.4,163.8,145.6,97.2,86.6,71.3,81.6,94.4,108.1,103.1,116.5,160.3,198.0,216.1,237.9,238.3,224.3,198.7,203.6,166.1,177.2,183.5,150.9,124.2,114.6,112.1,54.1,41.5,39.7,34.0,33.0,28.9,27.8,41.7,67.2,124.4,177.4,178.3,194.2,236.7,301.9,303.4,291.4,346.8,382.0,377.3,334.7,306.7,289.3,250.0,196.0,263.9,201.8,188.5,170.4
"May 12, 16",94.4,108.1,103.1,116.5,160.3,198.0,216.1,237.9,238.3,224.3,198.7,203.6,166.1,177.2,183.5,150.9,124.2,114.6,112.1,54.1,41.5,39.7,34.0,33.0,28.9,27.8,41.7,67.2,124.4,177.4,178.3,194.2,236.7,301.9,303.4,291.4,346.8,382.0,377.3,334.7,306.7,289.3,250.0,196.0,263.9,201.8,188.5,170.4,158.0,167.3,185.3,192.7,153.4,123.9,213.9,250.6,363.8,440.0,302.3,260.2,182.6,83.2,94.4,105.4,111.5,163.3,227.7,173.9,272.9,340.1,430.1,398.3
"May 13, 16",28.9,27.8,41.7,67.2,124.4,177.4,178.3,194.2,236.7,301.9,303.4,291.4,346.8,382.0,377.3,334.7,306.7,289.3,250.0,196.0,263.9,201.8,188.5,170.4,158.0,167.3,185.3,192.7,153.4,123.9,213.9,250.6,363.8,440.0,302.3,260.2,182.6,83.2,94.4,105.4,111.5,163.3,227.7,173.9,272.9,340.1,430.1,398.3,437.4,525.6,583.8,625.0,657.2,696.0,682.2,675.0,639.8,647.5,610.4,628.4,615.6,608.3,592.7,617.1,650.7,621.8,589.8,646.9,632.1,613.2,586.5,629.6
"May 14, 16",158.0,167.3,185.3,192.7,153.4,123.9,213.9,250.6,363.8,440.0,302.3,260.2,182.6,83.2,94.4,105.4,111.5,163.3,227.7,173.9,272.9,340.1,430.1,398.3,437.4,525.6,583.8,625.0,657.2,696.0,682.2,675.0,639.8,647.5,610.4,628.4,615.6,608.3,592.7,617.1,650.7,621.8,589.8,646.9,632.1,613.2,586.5,629.6,632.4,621.9,583.1,533.2,553.5,530.5,494.4,480.0,480.1,491.5,526.9,526.6,532.7,545.7,563.3,562.8,545.1,524.6,470.4,409.5,469.8,452.1,431.2,409.3
"May 15, 16",437.4,525.6,583.8,625.0,657.2,696.0,682.2,675.0,639.8,647.5,610.4,628.4,615.6,608.3,592.7,617.1,650.7,621.8,589.8,646.9,632.1,613.2,586.5,629.6,632.4,621.9,583.1,533.2,553.5,530.5,494.4,480.0,480.1,491.5,526.9,526.6,532.7,545.7,563.3,562.8,545.1,524.6,470.4,409.5,469.8,452.1,431.2,409.3,391.4,382.1,355.6,332.0,313.1,371.4,405.8,444.1,414.1,404.7,427.6,415.7,399.3,345.6,289.6,250.2,235.3,228.0,208.4,117.4,90.8,99.2,101.1,86.7
"May 16, 16",632.4,621.9,583.1,533.2,553.5,530.5,494.4,480.0,480.1,491.5,526.9,526.6,532.7,545.7,563.3,562.8,545.1,524.6,470.4,409.5,469.8,452.1,431.2,409.3,391.4,382.1,355.6,332.0,313.1,371.4,405.8,444.1,414.1,404.7,427.6,415.7,399.3,345.6,289.6,250.2,235.3,228.0,208.4,117.4,90.8,99.2,101.1,86.7,101.4,118.7,120.2,135.9,166.2,138.3,121.8,106.8,102.1,92.3,87.0,94.0,86.0,80.6,88.2,89.0,87.5,104.2,112.0,85.8,41.3,36.6,22.3,14.7
"May 17, 16",391.4,382.1,355.6,332.0,313.1,371.4,405.8,444.1,414.1,404.7,427.6,415.7,399.3,345.6,289.6,250.2,235.3,228.0,208.4,117.4,90.8,99.2,101.1,86.7,101.4,118.7,120.2,135.9,166.2,138.3,121.8,106.8,102.1,92.3,87.0,94.0,86.0,80.6,88.2,89.0,87.5,104.2,112.0,85.8,41.3,36.6,22.3,14.7,17.3,27.0,48.8,73.0,138.0,173.7,252.5,295.9,296.4,243.6,245.2,291.1,284.5,214.3,163.5,149.0,125.8,126.2,131.1,101.6,87.9,131.2,192.2,213.9
"May 18, 16",101.4,118.7,120.2,135.9,166.2,138.3,121.8,106.8,102.1,92.3,87.0,94.0,86.0,80.6,88.2,89.0,87.5,104.2,112.0,85.8,41.3,36.6,22.3,14.7,17.3,27.0,48.8,73.0,138.0,173.7,252.5,295.9,296.4,243.6,245.2,291.1,284.5,214.3,163.5,149.0,125.8,126.2,131.1,101.6,87.9,131.2,192.2,213.9,211.3,253.7,264.1,282.7,362.3,393.2,397.3,400.0,351.9,337.4,310.6,341.8,373.5,331.2,332.7,318.7,307.9,272.3,223.0,162.4,114.0,108.1,91.5,88.1
"May 19, 16",17.3,27.0,48.8,73.0,138.0,173.7,252.5,295.9,296.4,243.6,245.2,291.1,284.5,214.3,163.5,149.0,125.8,126.2,131.1,101.6,87.9,131.2,192.2,213.9,211.3,253.7,264.1,282.7,362.3,393.2,397.3,400.0,351.9,337.4,310.6,341.8,373.5,331.2,332.7,318.7,307.9,272.3,223.0,162.4,114.0,108.1,91.5,88.1,102.2,98.4,104.2,128.7,154.7,203.5,231.1,161.8,150.2,131.0,116.7,117.0,116.0,134.4,139.0,144.6,165.9,190.5,203.2,147.5,156.2,187.6,199.4,195.1
"May 20, 16",211.3,253.7,264.1,282.7,362.3,393.2,397.3,400.0,351.9,337.4,310.6,341.8,373.5,331.2,332.7,318.7,307.9,272.3,223.0,162.4,114.0,108.1,91.5,88.1,102.2,98.4,104.2,128.7,154.7,203.5,231.1,161.8,150.2,131.0,116.7,117.0,116.0,134.4,139.0,144.6,165.9,190.5,203.2,147.5,156.2,187.6,199.4,195.1,222.8,265.6,370.1,376.6,310.9,304.4,327.6,311.9,295.4,282.0,226.7,228.2,230.9,234.0,250.7,250.1,228.9,168.1,124.6,64.0,25.5,31.2,37.7,36.1
"May 21, 16",102.2,98.4,104.2,128.7,154.7,203.5,231.1,161.8,150.2,131.0,116.7,117.0,116.0,134.4,139.0,144.6,165.9,190.5,203.2,147.5,156.2,187.6,199.4,195.1,222.8,265.6,370.1,376.6,310.9,304.4,327.6,311.9,295.4,282.0,226.7,228.2,230.9,234.0,250.7,250.1,228.9,168.1,124.6,64.0,25.5,31.2,37.7,36.1,26.5,27.5,22.0,18.0,16.0,4.4,9.6,49.1,61.4,70.1,61.0,69.0,87.1,93.6,103.5,119.7,145.7,165.3,186.8,136.0,73.9,92.9,131.9,134.2
