,,Starting_Time,Min_ConfInt,Max_ConfInt,Forecast,Real
01/01/2018,01:00,0100,680.74,891.73,786.24,510.25
01/01/2018,02:00,0100,527.10,741.02,634.06,406.47
01/01/2018,03:00,0100,353.69,570.52,462.11,393.49
01/01/2018,04:00,0100,335.17,554.92,445.04,388.67
01/01/2018,05:00,0100,487.72,710.39,599.06,377.54
01/01/2018,06:00,0100,502.00,727.58,614.79,349.30
01/01/2018,07:00,0100,414.09,642.58,528.34,324.09
01/01/2018,08:00,0100,262.19,493.60,377.89,259.51
01/01/2018,09:00,0100,180.11,414.44,297.27,178.83
01/01/2018,10:00,0100,76.49,313.74,195.12,132.73
01/01/2018,11:00,0100,65.78,305.94,185.86,168.65
01/01/2018,12:00,0100,33.65,276.73,155.19,270.16
01/01/2018,13:00,0100,58.50,304.49,181.50,352.06
01/01/2018,14:00,0100,201.27,450.18,325.73,406.22
01/01/2018,15:00,0100,272.17,524.00,398.09,472.73
01/01/2018,16:00,0100,362.32,617.07,489.70,539.51
01/01/2018,17:00,0100,386.62,644.28,515.45,571.26
01/01/2018,18:00,0100,420.70,681.28,550.99,578.37
01/01/2018,19:00,0100,514.81,778.31,646.56,627.29
01/01/2018,20:00,0100,549.74,816.15,682.95,660.23
01/01/2018,21:00,0100,524.18,793.51,658.84,648.24
01/01/2018,22:00,0100,494.24,766.48,630.36,473.81
01/01/2018,23:00,0100,430.36,705.52,567.94,356.52
02/01/2018,00:00,0100,417.00,695.08,556.04,317.86
02/01/2018,01:00,0100,405.35,686.35,545.85,271.80
02/01/2018,02:00,0100,404.08,688.00,546.04,232.07
02/01/2018,03:00,0100,373.48,660.31,516.89,208.24
02/01/2018,04:00,0100,337.34,627.09,482.21,210.42
02/01/2018,05:00,0100,375.99,668.66,522.32,180.40
02/01/2018,06:00,0100,329.03,624.61,476.82,113.71
02/01/2018,07:00,0100,265.91,564.40,415.15,74.62
02/01/2018,08:00,0100,196.25,497.67,346.96,72.69
02/01/2018,09:00,0100,91.32,395.65,243.49,92.55
02/01/2018,10:00,0100,0.00,281.72,128.10,67.78
02/01/2018,11:00,0100,0.00,229.70,74.62,75.26
02/01/2018,12:00,0100,0.00,184.07,27.53,107.99
02/01/2018,13:00,0100,0.00,181.96,23.96,140.43
02/01/2018,14:00,0100,0.00,198.38,38.92,183.60
02/01/2018,15:00,0100,0.00,243.11,82.20,225.46
02/01/2018,16:00,0100,0.00,283.58,121.20,245.88
02/01/2018,17:00,0100,0.00,314.08,150.25,217.90
02/01/2018,18:00,0100,0.00,260.79,95.50,189.27
02/01/2018,19:00,0100,0.00,235.73,68.98,279.52
02/01/2018,20:00,0100,0.00,230.46,62.25,412.19
02/01/2018,21:00,0100,0.00,297.41,127.75,661.29
02/01/2018,22:00,0100,33.28,375.52,204.40,566.52
02/01/2018,23:00,0100,188.68,533.85,361.27,554.92
03/01/2018,00:00,0100,312.51,660.59,486.55,516.51
03/01/2018,01:00,0100,468.39,819.39,643.89,439.82
03/01/2018,02:00,0100,500.56,854.47,677.51,311.33
03/01/2018,03:00,0100,451.86,808.69,630.27,239.23
03/01/2018,04:00,0100,360.65,720.39,540.52,259.21
03/01/2018,05:00,0100,414.24,776.90,595.57,266.20
03/01/2018,06:00,0100,390.43,756.01,573.22,191.46
03/01/2018,07:00,0100,482.14,850.64,666.39,155.72
03/01/2018,08:00,0100,317.60,689.02,503.31,212.63
03/01/2018,09:00,0100,287.72,662.05,474.88,313.08
03/01/2018,10:00,0100,186.22,563.47,374.85,481.60
03/01/2018,11:00,0100,125.42,505.59,315.51,583.47
03/01/2018,12:00,0100,56.79,439.87,248.33,635.32
03/01/2018,13:00,0100,65.67,451.67,258.67,480.51
03/01/2018,14:00,0100,83.85,472.76,278.31,454.42
03/01/2018,15:00,0100,92.76,484.58,288.67,496.75
03/01/2018,16:00,0100,29.33,424.07,226.70,561.90
03/01/2018,17:00,0100,0.00,371.38,172.55,590.00
03/01/2018,18:00,0100,0.00,324.52,124.23,494.32
03/01/2018,19:00,0100,0.00,340.49,138.74,540.80
03/01/2018,20:00,0100,0.00,316.20,112.99,756.63
03/01/2018,21:00,0100,0.00,359.37,154.71,786.08
03/01/2018,22:00,0100,30.17,442.41,236.29,780.99
03/01/2018,23:00,0100,290.90,706.06,498.48,804.51
04/01/2018,00:00,0100,545.62,963.70,754.66,795.41
01/01/2018,01:00,0700,680.74,891.73,786.24,510.25
01/01/2018,02:00,0700,527.10,741.02,634.06,406.47
01/01/2018,03:00,0700,353.69,570.52,462.11,393.49
01/01/2018,04:00,0700,335.17,554.92,445.04,388.67
01/01/2018,05:00,0700,487.72,710.39,599.06,377.54
01/01/2018,06:00,0700,502.00,727.58,614.79,349.30
01/01/2018,07:00,0700,414.09,642.58,528.34,324.09
01/01/2018,08:00,0700,262.19,493.60,377.89,259.51
01/01/2018,09:00,0700,180.11,414.44,297.27,178.83
01/01/2018,10:00,0700,76.49,313.74,195.12,132.73
01/01/2018,11:00,0700,65.78,305.94,185.86,168.65
01/01/2018,12:00,0700,33.65,276.73,155.19,270.16
01/01/2018,13:00,0700,58.50,304.49,181.50,352.06
01/01/2018,14:00,0700,201.27,450.18,325.73,406.22
01/01/2018,15:00,0700,272.17,524.00,398.09,472.73
01/01/2018,16:00,0700,362.32,617.07,489.70,539.51
01/01/2018,17:00,0700,386.62,644.28,515.45,571.26
01/01/2018,18:00,0700,420.70,681.28,550.99,578.37
01/01/2018,19:00,0700,514.81,778.31,646.56,627.29
01/01/2018,20:00,0700,549.74,816.15,682.95,660.23
01/01/2018,21:00,0700,524.18,793.51,658.84,648.24
01/01/2018,22:00,0700,494.24,766.48,630.36,473.81
01/01/2018,23:00,0700,430.36,705.52,567.94,356.52
02/01/2018,00:00,0700,417.00,695.08,556.04,317.86
02/01/2018,01:00,0700,405.35,686.35,545.85,271.80
02/01/2018,02:00,0700,404.08,688.00,546.04,232.07
02/01/2018,03:00,0700,373.48,660.31,516.89,208.24
02/01/2018,04:00,0700,337.34,627.09,482.21,210.42
02/01/2018,05:00,0700,375.99,668.66,522.32,180.40
02/01/2018,06:00,0700,329.03,624.61,476.82,113.71
02/01/2018,07:00,0700,265.91,564.40,415.15,74.62
02/01/2018,08:00,0700,196.25,497.67,346.96,72.69
02/01/2018,09:00,0700,91.32,395.65,243.49,92.55
02/01/2018,10:00,0700,0.00,281.72,128.10,67.78
02/01/2018,11:00,0700,0.00,229.70,74.62,75.26
02/01/2018,12:00,0700,0.00,184.07,27.53,107.99
02/01/2018,13:00,0700,0.00,181.96,23.96,140.43
02/01/2018,14:00,0700,0.00,198.38,38.92,183.60
02/01/2018,15:00,0700,0.00,243.11,82.20,225.46
02/01/2018,16:00,0700,0.00,283.58,121.20,245.88
02/01/2018,17:00,0700,0.00,314.08,150.25,217.90
02/01/2018,18:00,0700,0.00,260.79,95.50,189.27
02/01/2018,19:00,0700,0.00,235.73,68.98,279.52
02/01/2018,20:00,0700,0.00,230.46,62.25,412.19
02/01/2018,21:00,0700,0.00,297.41,127.75,661.29
02/01/2018,22:00,0700,33.28,375.52,204.40,566.52
02/01/2018,23:00,0700,188.68,533.85,361.27,554.92
03/01/2018,00:00,0700,312.51,660.59,486.55,516.51
03/01/2018,01:00,0700,468.39,819.39,643.89,439.82
03/01/2018,02:00,0700,500.56,854.47,677.51,311.33
03/01/2018,03:00,0700,451.86,808.69,630.27,239.23
03/01/2018,04:00,0700,360.65,720.39,540.52,259.21
03/01/2018,05:00,0700,414.24,776.90,595.57,266.20
03/01/2018,06:00,0700,390.43,756.01,573.22,191.46
03/01/2018,07:00,0700,482.14,850.64,666.39,155.72
03/01/2018,08:00,0700,317.60,689.02,503.31,212.63
03/01/2018,09:00,0700,287.72,662.05,474.88,313.08
03/01/2018,10:00,0700,186.22,563.47,374.85,481.60
03/01/2018,11:00,0700,125.42,505.59,315.51,583.47
03/01/2018,12:00,0700,56.79,439.87,248.33,635.32
03/01/2018,13:00,0700,65.67,451.67,258.67,480.51
03/01/2018,14:00,0700,83.85,472.76,278.31,454.42
03/01/2018,15:00,0700,92.76,484.58,288.67,496.75
03/01/2018,16:00,0700,29.33,424.07,226.70,561.90
03/01/2018,17:00,0700,0.00,371.38,172.55,590.00
03/01/2018,18:00,0700,0.00,324.52,124.23,494.32
03/01/2018,19:00,0700,0.00,340.49,138.74,540.80
03/01/2018,20:00,0700,0.00,316.20,112.99,756.63
03/01/2018,21:00,0700,0.00,359.37,154.71,786.08
03/01/2018,22:00,0700,30.17,442.41,236.29,780.99
03/01/2018,23:00,0700,290.90,706.06,498.48,804.51
04/01/2018,00:00,0700,545.62,963.70,754.66,795.41
01/01/2018,01:00,1300,680.74,891.73,786.24,510.25
01/01/2018,02:00,1300,527.10,741.02,634.06,406.47
01/01/2018,03:00,1300,353.69,570.52,462.11,393.49
01/01/2018,04:00,1300,335.17,554.92,445.04,388.67
01/01/2018,05:00,1300,487.72,710.39,599.06,377.54
01/01/2018,06:00,1300,502.00,727.58,614.79,349.30
01/01/2018,07:00,1300,414.09,642.58,528.34,324.09
01/01/2018,08:00,1300,262.19,493.60,377.89,259.51
01/01/2018,09:00,1300,180.11,414.44,297.27,178.83
01/01/2018,10:00,1300,76.49,313.74,195.12,132.73
01/01/2018,11:00,1300,65.78,305.94,185.86,168.65
01/01/2018,12:00,1300,33.65,276.73,155.19,270.16
01/01/2018,13:00,1300,58.50,304.49,181.50,352.06
01/01/2018,14:00,1300,201.27,450.18,325.73,406.22
01/01/2018,15:00,1300,272.17,524.00,398.09,472.73
01/01/2018,16:00,1300,362.32,617.07,489.70,539.51
01/01/2018,17:00,1300,386.62,644.28,515.45,571.26
01/01/2018,18:00,1300,420.70,681.28,550.99,578.37
01/01/2018,19:00,1300,514.81,778.31,646.56,627.29
01/01/2018,20:00,1300,549.74,816.15,682.95,660.23
01/01/2018,21:00,1300,524.18,793.51,658.84,648.24
01/01/2018,22:00,1300,494.24,766.48,630.36,473.81
01/01/2018,23:00,1300,430.36,705.52,567.94,356.52
02/01/2018,00:00,1300,417.00,695.08,556.04,317.86
02/01/2018,01:00,1300,405.35,686.35,545.85,271.80
02/01/2018,02:00,1300,404.08,688.00,546.04,232.07
02/01/2018,03:00,1300,373.48,660.31,516.89,208.24
02/01/2018,04:00,1300,337.34,627.09,482.21,210.42
02/01/2018,05:00,1300,375.99,668.66,522.32,180.40
02/01/2018,06:00,1300,329.03,624.61,476.82,113.71
02/01/2018,07:00,1300,265.91,564.40,415.15,74.62
02/01/2018,08:00,1300,196.25,497.67,346.96,72.69
02/01/2018,09:00,1300,91.32,395.65,243.49,92.55
02/01/2018,10:00,1300,0.00,281.72,128.10,67.78
02/01/2018,11:00,1300,0.00,229.70,74.62,75.26
02/01/2018,12:00,1300,0.00,184.07,27.53,107.99
02/01/2018,13:00,1300,0.00,181.96,23.96,140.43
02/01/2018,14:00,1300,0.00,198.38,38.92,183.60
02/01/2018,15:00,1300,0.00,243.11,82.20,225.46
02/01/2018,16:00,1300,0.00,283.58,121.20,245.88
02/01/2018,17:00,1300,0.00,314.08,150.25,217.90
02/01/2018,18:00,1300,0.00,260.79,95.50,189.27
02/01/2018,19:00,1300,0.00,235.73,68.98,279.52
02/01/2018,20:00,1300,0.00,230.46,62.25,412.19
02/01/2018,21:00,1300,0.00,297.41,127.75,661.29
02/01/2018,22:00,1300,33.28,375.52,204.40,566.52
02/01/2018,23:00,1300,188.68,533.85,361.27,554.92
03/01/2018,00:00,1300,312.51,660.59,486.55,516.51
03/01/2018,01:00,1300,468.39,819.39,643.89,439.82
03/01/2018,02:00,1300,500.56,854.47,677.51,311.33
03/01/2018,03:00,1300,451.86,808.69,630.27,239.23
03/01/2018,04:00,1300,360.65,720.39,540.52,259.21
03/01/2018,05:00,1300,414.24,776.90,595.57,266.20
03/01/2018,06:00,1300,390.43,756.01,573.22,191.46
03/01/2018,07:00,1300,482.14,850.64,666.39,155.72
03/01/2018,08:00,1300,317.60,689.02,503.31,212.63
03/01/2018,09:00,1300,287.72,662.05,474.88,313.08
03/01/2018,10:00,1300,186.22,563.47,374.85,481.60
03/01/2018,11:00,1300,125.42,505.59,315.51,583.47
03/01/2018,12:00,1300,56.79,439.87,248.33,635.32
03/01/2018,13:00,1300,65.67,451.67,258.67,480.51
03/01/2018,14:00,1300,83.85,472.76,278.31,454.42
03/01/2018,15:00,1300,92.76,484.58,288.67,496.75
03/01/2018,16:00,1300,29.33,424.07,226.70,561.90
03/01/2018,17:00,1300,0.00,371.38,172.55,590.00
03/01/2018,18:00,1300,0.00,324.52,124.23,494.32
03/01/2018,19:00,1300,0.00,340.49,138.74,540.80
03/01/2018,20:00,1300,0.00,316.20,112.99,756.63
03/01/2018,21:00,1300,0.00,359.37,154.71,786.08
03/01/2018,22:00,1300,30.17,442.41,236.29,780.99
03/01/2018,23:00,1300,290.90,706.06,498.48,804.51
04/01/2018,00:00,1300,545.62,963.70,754.66,795.41
02/01/2018,01:00,0100,348.85,559.84,454.34,271.80
02/01/2018,02:00,0100,292.15,506.07,399.11,232.07
02/01/2018,03:00,0100,277.89,494.72,386.30,208.24
02/01/2018,04:00,0100,196.22,415.96,306.09,210.42
02/01/2018,05:00,0100,118.51,341.18,229.85,180.40
02/01/2018,06:00,0100,76.32,301.90,189.11,113.71
02/01/2018,07:00,0100,70.03,298.52,184.27,74.62
02/01/2018,08:00,0100,4.32,235.73,120.03,72.69
02/01/2018,09:00,0100,0.00,175.31,58.15,92.55
02/01/2018,10:00,0100,0.00,137.95,19.32,67.78
02/01/2018,11:00,0100,0.00,125.74,5.66,75.26
02/01/2018,12:00,0100,0.00,133.69,12.15,107.99
02/01/2018,13:00,0100,0.00,143.57,20.57,140.43
02/01/2018,14:00,0100,0.00,168.60,44.15,183.60
02/01/2018,15:00,0100,0.00,227.85,101.93,225.46
02/01/2018,16:00,0100,0.00,251.87,124.50,245.88
02/01/2018,17:00,0100,8.41,266.07,137.24,217.90
02/01/2018,18:00,0100,0.00,230.93,100.64,189.27
02/01/2018,19:00,0100,0.00,184.28,52.53,279.52
02/01/2018,20:00,0100,0.00,217.41,84.20,412.19
02/01/2018,21:00,0100,0.00,255.36,120.69,661.29
02/01/2018,22:00,0100,106.25,378.50,242.38,566.52
02/01/2018,23:00,0100,156.13,431.29,293.71,554.92
03/01/2018,00:00,0100,228.08,506.16,367.12,516.51
03/01/2018,01:00,0100,295.38,576.38,435.88,439.82
03/01/2018,02:00,0100,287.55,571.46,429.50,311.33
03/01/2018,03:00,0100,209.10,495.93,352.52,239.23
03/01/2018,04:00,0100,224.75,514.49,369.62,259.21
03/01/2018,05:00,0100,253.32,545.98,399.65,266.20
03/01/2018,06:00,0100,372.76,668.34,520.55,191.46
03/01/2018,07:00,0100,464.91,763.41,614.16,155.72
03/01/2018,08:00,0100,286.71,588.12,437.42,212.63
03/01/2018,09:00,0100,151.22,455.55,303.39,313.08
03/01/2018,10:00,0100,119.51,426.75,273.13,481.60
03/01/2018,11:00,0100,93.69,403.85,248.77,583.47
03/01/2018,12:00,0100,121.85,434.93,278.39,635.32
03/01/2018,13:00,0100,115.57,431.57,273.57,480.51
03/01/2018,14:00,0100,105.19,424.11,264.65,454.42
03/01/2018,15:00,0100,105.94,427.77,266.85,496.75
03/01/2018,16:00,0100,27.07,351.81,189.44,561.90
03/01/2018,17:00,0100,0.00,282.77,118.94,590.00
03/01/2018,18:00,0100,0.00,290.55,125.26,494.32
03/01/2018,19:00,0100,0.00,293.72,126.97,540.80
03/01/2018,20:00,0100,0.00,296.40,128.19,756.63
03/01/2018,21:00,0100,0.00,314.45,144.79,786.08
03/01/2018,22:00,0100,102.41,444.66,273.54,780.99
03/01/2018,23:00,0100,273.29,618.46,445.87,804.51
04/01/2018,00:00,0100,538.51,886.59,712.55,795.41
04/01/2018,01:00,0100,612.68,963.68,788.18,735.56
04/01/2018,02:00,0100,656.73,1010.64,833.68,594.20
04/01/2018,03:00,0100,667.30,1024.13,845.72,494.78
04/01/2018,04:00,0100,682.43,1042.18,862.31,507.27
04/01/2018,05:00,0100,705.44,1068.10,886.77,551.40
04/01/2018,06:00,0100,709.97,1075.55,892.76,489.18
04/01/2018,07:00,0100,704.32,1072.82,888.57,336.27
04/01/2018,08:00,0100,682.98,1054.39,868.68,497.44
04/01/2018,09:00,0100,600.83,975.16,787.99,789.90
04/01/2018,10:00,0100,645.04,1022.29,833.66,932.88
04/01/2018,11:00,0100,617.28,997.44,807.36,879.46
04/01/2018,12:00,0100,427.32,810.40,618.86,802.18
04/01/2018,13:00,0100,230.84,616.83,423.83,769.36
04/01/2018,14:00,0100,111.56,500.47,306.02,816.03
04/01/2018,15:00,0100,53.93,445.76,249.84,833.59
04/01/2018,16:00,0100,29.85,424.59,227.22,839.26
04/01/2018,17:00,0100,0.00,396.97,198.14,772.17
04/01/2018,18:00,0100,0.00,349.45,149.16,645.72
04/01/2018,19:00,0100,0.00,345.09,143.34,787.83
04/01/2018,20:00,0100,92.89,499.30,296.10,995.31
04/01/2018,21:00,0100,357.45,766.78,562.11,1144.50
04/01/2018,22:00,0100,511.59,923.84,717.72,1222.55
04/01/2018,23:00,0100,765.09,1156.00,972.67,1225.80
05/01/2018,00:00,0100,835.33,1156.00,1044.37,1213.00
02/01/2018,01:00,0700,348.85,559.84,454.34,271.80
02/01/2018,02:00,0700,292.15,506.07,399.11,232.07
02/01/2018,03:00,0700,277.89,494.72,386.30,208.24
02/01/2018,04:00,0700,196.22,415.96,306.09,210.42
02/01/2018,05:00,0700,118.51,341.18,229.85,180.40
02/01/2018,06:00,0700,76.32,301.90,189.11,113.71
02/01/2018,07:00,0700,70.03,298.52,184.27,74.62
02/01/2018,08:00,0700,4.32,235.73,120.03,72.69
02/01/2018,09:00,0700,0.00,175.31,58.15,92.55
02/01/2018,10:00,0700,0.00,137.95,19.32,67.78
02/01/2018,11:00,0700,0.00,125.74,5.66,75.26
02/01/2018,12:00,0700,0.00,133.69,12.15,107.99
02/01/2018,13:00,0700,0.00,143.57,20.57,140.43
02/01/2018,14:00,0700,0.00,168.60,44.15,183.60
02/01/2018,15:00,0700,0.00,227.85,101.93,225.46
02/01/2018,16:00,0700,0.00,251.87,124.50,245.88
02/01/2018,17:00,0700,8.41,266.07,137.24,217.90
02/01/2018,18:00,0700,0.00,230.93,100.64,189.27
02/01/2018,19:00,0700,0.00,184.28,52.53,279.52
02/01/2018,20:00,0700,0.00,217.41,84.20,412.19
02/01/2018,21:00,0700,0.00,255.36,120.69,661.29
02/01/2018,22:00,0700,106.25,378.50,242.38,566.52
02/01/2018,23:00,0700,156.13,431.29,293.71,554.92
03/01/2018,00:00,0700,228.08,506.16,367.12,516.51
03/01/2018,01:00,0700,295.38,576.38,435.88,439.82
03/01/2018,02:00,0700,287.55,571.46,429.50,311.33
03/01/2018,03:00,0700,209.10,495.93,352.52,239.23
03/01/2018,04:00,0700,224.75,514.49,369.62,259.21
03/01/2018,05:00,0700,253.32,545.98,399.65,266.20
03/01/2018,06:00,0700,372.76,668.34,520.55,191.46
03/01/2018,07:00,0700,464.91,763.41,614.16,155.72
03/01/2018,08:00,0700,286.71,588.12,437.42,212.63
03/01/2018,09:00,0700,151.22,455.55,303.39,313.08
03/01/2018,10:00,0700,119.51,426.75,273.13,481.60
03/01/2018,11:00,0700,93.69,403.85,248.77,583.47
03/01/2018,12:00,0700,121.85,434.93,278.39,635.32
03/01/2018,13:00,0700,115.57,431.57,273.57,480.51
03/01/2018,14:00,0700,105.19,424.11,264.65,454.42
03/01/2018,15:00,0700,105.94,427.77,266.85,496.75
03/01/2018,16:00,0700,27.07,351.81,189.44,561.90
03/01/2018,17:00,0700,0.00,282.77,118.94,590.00
03/01/2018,18:00,0700,0.00,290.55,125.26,494.32
03/01/2018,19:00,0700,0.00,293.72,126.97,540.80
03/01/2018,20:00,0700,0.00,296.40,128.19,756.63
03/01/2018,21:00,0700,0.00,314.45,144.79,786.08
03/01/2018,22:00,0700,102.41,444.66,273.54,780.99
03/01/2018,23:00,0700,273.29,618.46,445.87,804.51
04/01/2018,00:00,0700,538.51,886.59,712.55,795.41
04/01/2018,01:00,0700,612.68,963.68,788.18,735.56
04/01/2018,02:00,0700,656.73,1010.64,833.68,594.20
04/01/2018,03:00,0700,667.30,1024.13,845.72,494.78
04/01/2018,04:00,0700,682.43,1042.18,862.31,507.27
04/01/2018,05:00,0700,705.44,1068.10,886.77,551.40
04/01/2018,06:00,0700,709.97,1075.55,892.76,489.18
04/01/2018,07:00,0700,704.32,1072.82,888.57,336.27
04/01/2018,08:00,0700,682.98,1054.39,868.68,497.44
04/01/2018,09:00,0700,600.83,975.16,787.99,789.90
04/01/2018,10:00,0700,645.04,1022.29,833.66,932.88
04/01/2018,11:00,0700,617.28,997.44,807.36,879.46
04/01/2018,12:00,0700,427.32,810.40,618.86,802.18
04/01/2018,13:00,0700,230.84,616.83,423.83,769.36
04/01/2018,14:00,0700,111.56,500.47,306.02,816.03
04/01/2018,15:00,0700,53.93,445.76,249.84,833.59
04/01/2018,16:00,0700,29.85,424.59,227.22,839.26
04/01/2018,17:00,0700,0.00,396.97,198.14,772.17
04/01/2018,18:00,0700,0.00,349.45,149.16,645.72
04/01/2018,19:00,0700,0.00,345.09,143.34,787.83
04/01/2018,20:00,0700,92.89,499.30,296.10,995.31
04/01/2018,21:00,0700,357.45,766.78,562.11,1144.50
04/01/2018,22:00,0700,511.59,923.84,717.72,1222.55
04/01/2018,23:00,0700,765.09,1156.00,972.67,1225.80
05/01/2018,00:00,0700,835.33,1156.00,1044.37,1213.00
02/01/2018,01:00,1300,348.85,559.84,454.34,271.80
02/01/2018,02:00,1300,292.15,506.07,399.11,232.07
02/01/2018,03:00,1300,277.89,494.72,386.30,208.24
02/01/2018,04:00,1300,196.22,415.96,306.09,210.42
02/01/2018,05:00,1300,118.51,341.18,229.85,180.40
02/01/2018,06:00,1300,76.32,301.90,189.11,113.71
02/01/2018,07:00,1300,70.03,298.52,184.27,74.62
02/01/2018,08:00,1300,4.32,235.73,120.03,72.69
02/01/2018,09:00,1300,0.00,175.31,58.15,92.55
02/01/2018,10:00,1300,0.00,137.95,19.32,67.78
02/01/2018,11:00,1300,0.00,125.74,5.66,75.26
02/01/2018,12:00,1300,0.00,133.69,12.15,107.99
02/01/2018,13:00,1300,0.00,143.57,20.57,140.43
02/01/2018,14:00,1300,0.00,168.60,44.15,183.60
02/01/2018,15:00,1300,0.00,227.85,101.93,225.46
02/01/2018,16:00,1300,0.00,251.87,124.50,245.88
02/01/2018,17:00,1300,8.41,266.07,137.24,217.90
02/01/2018,18:00,1300,0.00,230.93,100.64,189.27
02/01/2018,19:00,1300,0.00,184.28,52.53,279.52
02/01/2018,20:00,1300,0.00,217.41,84.20,412.19
02/01/2018,21:00,1300,0.00,255.36,120.69,661.29
02/01/2018,22:00,1300,106.25,378.50,242.38,566.52
02/01/2018,23:00,1300,156.13,431.29,293.71,554.92
03/01/2018,00:00,1300,228.08,506.16,367.12,516.51
03/01/2018,01:00,1300,295.38,576.38,435.88,439.82
03/01/2018,02:00,1300,287.55,571.46,429.50,311.33
03/01/2018,03:00,1300,209.10,495.93,352.52,239.23
03/01/2018,04:00,1300,224.75,514.49,369.62,259.21
03/01/2018,05:00,1300,253.32,545.98,399.65,266.20
03/01/2018,06:00,1300,372.76,668.34,520.55,191.46
03/01/2018,07:00,1300,464.91,763.41,614.16,155.72
03/01/2018,08:00,1300,286.71,588.12,437.42,212.63
03/01/2018,09:00,1300,151.22,455.55,303.39,313.08
03/01/2018,10:00,1300,119.51,426.75,273.13,481.60
03/01/2018,11:00,1300,93.69,403.85,248.77,583.47
03/01/2018,12:00,1300,121.85,434.93,278.39,635.32
03/01/2018,13:00,1300,115.57,431.57,273.57,480.51
03/01/2018,14:00,1300,105.19,424.11,264.65,454.42
03/01/2018,15:00,1300,105.94,427.77,266.85,496.75
03/01/2018,16:00,1300,27.07,351.81,189.44,561.90
03/01/2018,17:00,1300,0.00,282.77,118.94,590.00
03/01/2018,18:00,1300,0.00,290.55,125.26,494.32
03/01/2018,19:00,1300,0.00,293.72,126.97,540.80
03/01/2018,20:00,1300,0.00,296.40,128.19,756.63
03/01/2018,21:00,1300,0.00,314.45,144.79,786.08
03/01/2018,22:00,1300,102.41,444.66,273.54,780.99
03/01/2018,23:00,1300,273.29,618.46,445.87,804.51
04/01/2018,00:00,1300,538.51,886.59,712.55,795.41
04/01/2018,01:00,1300,612.68,963.68,788.18,735.56
04/01/2018,02:00,1300,656.73,1010.64,833.68,594.20
04/01/2018,03:00,1300,667.30,1024.13,845.72,494.78
04/01/2018,04:00,1300,682.43,1042.18,862.31,507.27
04/01/2018,05:00,1300,705.44,1068.10,886.77,551.40
04/01/2018,06:00,1300,709.97,1075.55,892.76,489.18
04/01/2018,07:00,1300,704.32,1072.82,888.57,336.27
04/01/2018,08:00,1300,682.98,1054.39,868.68,497.44
04/01/2018,09:00,1300,600.83,975.16,787.99,789.90
04/01/2018,10:00,1300,645.04,1022.29,833.66,932.88
04/01/2018,11:00,1300,617.28,997.44,807.36,879.46
04/01/2018,12:00,1300,427.32,810.40,618.86,802.18
04/01/2018,13:00,1300,230.84,616.83,423.83,769.36
04/01/2018,14:00,1300,111.56,500.47,306.02,816.03
04/01/2018,15:00,1300,53.93,445.76,249.84,833.59
04/01/2018,16:00,1300,29.85,424.59,227.22,839.26
04/01/2018,17:00,1300,0.00,396.97,198.14,772.17
04/01/2018,18:00,1300,0.00,349.45,149.16,645.72
04/01/2018,19:00,1300,0.00,345.09,143.34,787.83
04/01/2018,20:00,1300,92.89,499.30,296.10,995.31
04/01/2018,21:00,1300,357.45,766.78,562.11,1144.50
04/01/2018,22:00,1300,511.59,923.84,717.72,1222.55
04/01/2018,23:00,1300,765.09,1156.00,972.67,1225.80
05/01/2018,00:00,1300,835.33,1156.00,1044.37,1213.00
03/01/2018,01:00,0100,339.92,550.92,445.42,439.82
03/01/2018,02:00,0100,422.57,636.49,529.53,311.33
03/01/2018,03:00,0100,516.98,733.81,625.40,239.23
03/01/2018,04:00,0100,611.43,831.18,721.30,259.21
03/01/2018,05:00,0100,512.40,735.06,623.73,266.20
03/01/2018,06:00,0100,315.35,540.93,428.14,191.46
03/01/2018,07:00,0100,212.22,440.71,326.47,155.72
03/01/2018,08:00,0100,180.21,411.62,295.92,212.63
03/01/2018,09:00,0100,61.91,296.24,179.08,313.08
03/01/2018,10:00,0100,45.39,282.64,164.01,481.60
03/01/2018,11:00,0100,71.59,311.75,191.67,583.47
03/01/2018,12:00,0100,141.30,384.38,262.84,635.32
03/01/2018,13:00,0100,189.04,435.04,312.04,480.51
03/01/2018,14:00,0100,244.25,493.17,368.71,454.42
03/01/2018,15:00,0100,249.18,501.01,375.10,496.75
03/01/2018,16:00,0100,170.05,424.79,297.42,561.90
03/01/2018,17:00,0100,56.35,314.01,185.18,590.00
03/01/2018,18:00,0100,7.10,267.68,137.39,494.32
03/01/2018,19:00,0100,49.40,312.90,181.15,540.80
03/01/2018,20:00,0100,6.97,273.38,140.17,756.63
03/01/2018,21:00,0100,56.04,325.37,190.71,786.08
03/01/2018,22:00,0100,153.40,425.65,289.53,780.99
03/01/2018,23:00,0100,330.32,605.49,467.90,804.51
04/01/2018,00:00,0100,456.53,734.61,595.57,795.41
04/01/2018,01:00,0100,527.88,808.88,668.38,735.56
04/01/2018,02:00,0100,569.46,853.38,711.42,594.20
04/01/2018,03:00,0100,621.26,908.09,764.67,494.78
04/01/2018,04:00,0100,674.04,963.79,818.92,507.27
04/01/2018,05:00,0100,701.31,993.97,847.64,551.40
04/01/2018,06:00,0100,686.61,982.19,834.40,489.18
04/01/2018,07:00,0100,697.66,996.16,846.91,336.27
