Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DSRADG01EAS,STC,06/01/2016,300,0
DSRADG01EAS,STC,06/01/2016,400,0
DSRADG01EAS,STC,06/01/2016,500,0
DSRADG01EAS,STC,06/01/2016,600,0
DSRADG01EAS,STC,06/01/2016,700,0.107
DSRADG01EAS,STC,06/01/2016,800,0.392
DSRADG01EAS,STC,06/01/2016,900,0.967
DSRADG01EAS,STC,06/01/2016,1000,2.233
DSRADG01EAS,STC,06/01/2016,1100,1.919
DSRADG01EAS,STC,06/01/2016,1200,3.75
DSRADG01EAS,STC,06/01/2016,1300,4.098
DSRADG01EAS,STC,06/01/2016,1400,4.743
DSRADG01EAS,STC,06/01/2016,1500,3.094
DSRADG01EAS,STC,06/01/2016,1600,4.264
DSRADG01EAS,STC,06/01/2016,1700,5.277
DSRADG01EAS,STC,06/01/2016,1800,3.107
DSRADG01EAS,STC,06/01/2016,1900,1.066
DSRADG01EAS,STC,06/01/2016,2000,0.135
DSRADG01EAS,STC,06/01/2016,2100,0
DSRADG01EAS,STC,06/01/2016,2200,0
DSRADG01EAS,STC,06/01/2016,2300,0
DSRADG01EAS,STC,06/01/2016,2400,0
DSRADG01EAS,STC,07/01/2016,100,0
DSRADG01EAS,STC,07/01/2016,200,0
DSRADG01EAS,STC,07/01/2016,300,0
DSRADG01EAS,STC,07/01/2016,400,0
DSRADG01EAS,STC,07/01/2016,500,0
DSRADG01EAS,STC,07/01/2016,600,0.001
DSRADG01EAS,STC,07/01/2016,700,0.151
DSRADG01EAS,STC,07/01/2016,800,1.163
DSRADG01EAS,STC,07/01/2016,900,3.465
DSRADG01EAS,STC,07/01/2016,1000,5.503
DSRADG01EAS,STC,07/01/2016,1100,6.97
DSRADG01EAS,STC,07/01/2016,1200,7.798
DSRADG01EAS,STC,07/01/2016,1300,7.841
DSRADG01EAS,STC,07/01/2016,1400,7.839
DSRADG01EAS,STC,07/01/2016,1500,7.698
DSRADG01EAS,STC,07/01/2016,1600,6.725
DSRADG01EAS,STC,07/01/2016,1700,5.218
DSRADG01EAS,STC,07/01/2016,1800,3.215
DSRADG01EAS,STC,07/01/2016,1900,1.077
DSRADG01EAS,STC,07/01/2016,2000,0.125
DSRADG01EAS,STC,07/01/2016,2100,0
DSRADG01EAS,STC,07/01/2016,2200,0
DSRADG01EAS,STC,07/01/2016,2300,0
DSRADG01EAS,STC,07/01/2016,2400,0
DSRADG01EAS,STC,08/01/2016,100,0
DSRADG01EAS,STC,08/01/2016,200,0
DSRADG01EAS,STC,08/01/2016,300,0
DSRADG01EAS,STC,08/01/2016,400,0
DSRADG01EAS,STC,08/01/2016,500,0
DSRADG01EAS,STC,08/01/2016,600,0
DSRADG01EAS,STC,08/01/2016,700,0.228
DSRADG01EAS,STC,08/01/2016,800,1.187
