Objeto,Fecha Medida,Hora Medida,Valor
BJACBG01EAS,06/01/2016,2000,0.672
BJACBG01EAS,06/01/2016,2100,0
BJACBG01EAS,06/01/2016,2200,0
BJACBG01EAS,06/01/2016,2300,0
BJACBG01EAS,06/01/2016,2400,0
BJACBG01EAS,07/01/2016,100,0
BJACBG01EAS,07/01/2016,200,0
BJACBG01EAS,07/01/2016,300,0
BJACBG01EAS,07/01/2016,400,0
BJACBG01EAS,07/01/2016,500,0
BJACBG01EAS,07/01/2016,600,0
BJACBG01EAS,07/01/2016,700,1.081
BJACBG01EAS,07/01/2016,800,7.298
BJACBG01EAS,07/01/2016,900,11.202
BJACBG01EAS,07/01/2016,1000,19.644
BJACBG01EAS,07/01/2016,1100,42.748
BJACBG01EAS,07/01/2016,1200,45.938
BJACBG01EAS,07/01/2016,1300,45.766
BJACBG01EAS,07/01/2016,1400,45.251
BJACBG01EAS,07/01/2016,1500,43.786
BJACBG01EAS,07/01/2016,1600,40.833
BJACBG01EAS,07/01/2016,1700,34.175
BJACBG01EAS,07/01/2016,1800,22.016
BJACBG01EAS,07/01/2016,1900,7.583
BJACBG01EAS,07/01/2016,2000,0.62
BJACBG01EAS,07/01/2016,2100,0
BJACBG01EAS,07/01/2016,2200,0
BJACBG01EAS,07/01/2016,2300,0
BJACBG01EAS,07/01/2016,2400,0
BJACBG01EAS,08/01/2016,100,0
BJACBG01EAS,08/01/2016,200,0
BJACBG01EAS,08/01/2016,300,0
BJACBG01EAS,08/01/2016,400,0
BJACBG01EAS,08/01/2016,500,0
BJACBG01EAS,08/01/2016,600,0
BJACBG01EAS,08/01/2016,700,2.044
BJACBG01EAS,08/01/2016,800,8.43
BJACBG01EAS,08/01/2016,900,20.668
BJACBG01EAS,08/01/2016,1000,32.186
BJACBG01EAS,08/01/2016,1100,34.613
BJACBG01EAS,08/01/2016,1200,45.507
BJACBG01EAS,08/01/2016,1300,37.203
BJACBG01EAS,08/01/2016,1400,39.084
BJACBG01EAS,08/01/2016,1500,37.81
BJACBG01EAS,08/01/2016,1600,28.703
BJACBG01EAS,08/01/2016,1700,23.383
BJACBG01EAS,08/01/2016,1800,19.368
BJACBG01EAS,08/01/2016,1900,8.649
BJACBG01EAS,08/01/2016,2000,2.012
BJACBG01EAS,08/01/2016,2100,0
BJACBG01EAS,08/01/2016,2200,0
BJACBG01EAS,08/01/2016,2300,0
BJACBG01EAS,08/01/2016,2400,0
BJACBG01EAS,09/01/2016,100,0
BJACBG01EAS,09/01/2016,200,0
BJACBG01EAS,09/01/2016,300,0
BJACBG01EAS,09/01/2016,400,0
BJACBG01EAS,09/01/2016,500,0
BJACBG01EAS,09/01/2016,600,0
BJACBG01EAS,09/01/2016,700,0.846
BJACBG01EAS,09/01/2016,800,7.053
BJACBG01EAS,09/01/2016,900,21.052
BJACBG01EAS,09/01/2016,1000,33.014
BJACBG01EAS,09/01/2016,1100,40.292
BJACBG01EAS,09/01/2016,1200,42.766
BJACBG01EAS,09/01/2016,1300,42.332
BJACBG01EAS,09/01/2016,1400,43.105
BJACBG01EAS,09/01/2016,1500,41.97
BJACBG01EAS,09/01/2016,1600,37.477
BJACBG01EAS,09/01/2016,1700,31.775
BJACBG01EAS,09/01/2016,1800,20.785
BJACBG01EAS,09/01/2016,1900,7.705
BJACBG01EAS,09/01/2016,2000,1.209
BJACBG01EAS,09/01/2016,2100,0
BJACBG01EAS,09/01/2016,2200,0
BJACBG01EAS,09/01/2016,2300,0
BJACBG01EAS,09/01/2016,2400,0
BJACBG01EAS,10/01/2016,100,0
BJACBG01EAS,10/01/2016,200,0
BJACBG01EAS,10/01/2016,300,0
BJACBG01EAS,10/01/2016,400,0
BJACBG01EAS,10/01/2016,500,0
BJACBG01EAS,10/01/2016,600,0
BJACBG01EAS,10/01/2016,700,1.029
BJACBG01EAS,10/01/2016,800,7.127
BJACBG01EAS,10/01/2016,900,15.306
BJACBG01EAS,10/01/2016,1000,19.474
BJACBG01EAS,10/01/2016,1100,25.544
BJACBG01EAS,10/01/2016,1200,16.109
BJACBG01EAS,10/01/2016,1300,20.054
BJACBG01EAS,10/01/2016,1400,32.921
BJACBG01EAS,10/01/2016,1500,29.435
BJACBG01EAS,10/01/2016,1600,31.803
BJACBG01EAS,10/01/2016,1700,29.043
BJACBG01EAS,10/01/2016,1800,17.778
BJACBG01EAS,10/01/2016,1900,8.033
BJACBG01EAS,10/01/2016,2000,0.505
BJACBG01EAS,10/01/2016,2100,0
BJACBG01EAS,10/01/2016,2200,0
BJACBG01EAS,10/01/2016,2300,0
BJACBG01EAS,10/01/2016,2400,0
BJACBG01EAS,11/01/2016,100,0
BJACBG01EAS,11/01/2016,200,0
BJACBG01EAS,11/01/2016,300,0
BJACBG01EAS,11/01/2016,400,0
BJACBG01EAS,11/01/2016,500,0
BJACBG01EAS,11/01/2016,600,0
BJACBG01EAS,11/01/2016,700,0.778
BJACBG01EAS,11/01/2016,800,5.643
BJACBG01EAS,11/01/2016,900,14.249
BJACBG01EAS,11/01/2016,1000,27.168
BJACBG01EAS,11/01/2016,1100,35.367
BJACBG01EAS,11/01/2016,1200,40.639
BJACBG01EAS,11/01/2016,1300,40.086
BJACBG01EAS,11/01/2016,1400,39.331
BJACBG01EAS,11/01/2016,1500,36.31
BJACBG01EAS,11/01/2016,1600,33.115
BJACBG01EAS,11/01/2016,1700,27.239
BJACBG01EAS,11/01/2016,1800,20.299
BJACBG01EAS,11/01/2016,1900,7.307
BJACBG01EAS,11/01/2016,2000,0.497
BJACBG01EAS,11/01/2016,2100,0
BJACBG01EAS,11/01/2016,2200,0
BJACBG01EAS,11/01/2016,2300,0
BJACBG01EAS,11/01/2016,2400,0
BJACBG01EAS,12/01/2016,100,0
BJACBG01EAS,12/01/2016,200,0
BJACBG01EAS,12/01/2016,300,0
BJACBG01EAS,12/01/2016,400,0
BJACBG01EAS,12/01/2016,500,0
BJACBG01EAS,12/01/2016,600,0
BJACBG01EAS,12/01/2016,700,0.706
BJACBG01EAS,12/01/2016,800,6.621
BJACBG01EAS,12/01/2016,900,20.171
BJACBG01EAS,12/01/2016,1000,32.747
BJACBG01EAS,12/01/2016,1100,37.018
BJACBG01EAS,12/01/2016,1200,35.306
BJACBG01EAS,12/01/2016,1300,44.28
BJACBG01EAS,12/01/2016,1400,43.002
BJACBG01EAS,12/01/2016,1500,41.588
BJACBG01EAS,12/01/2016,1600,30.355
BJACBG01EAS,12/01/2016,1700,13.94
BJACBG01EAS,12/01/2016,1800,2.193
BJACBG01EAS,12/01/2016,1900,0.049
BJACBG01EAS,12/01/2016,2000,0
BJACBG01EAS,12/01/2016,2100,0
BJACBG01EAS,12/01/2016,2200,0
BJACBG01EAS,12/01/2016,2300,0
BJACBG01EAS,12/01/2016,2400,0
BJACBG01EAS,13/01/2016,100,0
BJACBG01EAS,13/01/2016,200,0
BJACBG01EAS,13/01/2016,300,0
BJACBG01EAS,13/01/2016,400,0
BJACBG01EAS,13/01/2016,500,0
BJACBG01EAS,13/01/2016,600,0
BJACBG01EAS,13/01/2016,700,0.78
BJACBG01EAS,13/01/2016,800,6.435
BJACBG01EAS,13/01/2016,900,19.533
BJACBG01EAS,13/01/2016,1000,26.365
BJACBG01EAS,13/01/2016,1100,27.846
BJACBG01EAS,13/01/2016,1200,37.782
BJACBG01EAS,13/01/2016,1300,38.63
